cv_trace.py - MobileNetV3-Small trace generation
===============================================

ONNX file: /home/prj/zhengs/caduceuscore/CaduceusCore/assets/mobilenetv3_small.onnx
Trace entries: 124
Total MACs: 56,510,400
MACs in range [50M, 62M]: True

Layer-by-layer breakdown:
   # Type                 Name                                            M        K        N         MACs     im2col    SFU
------------------------------------------------------------------------------------------------------------------------
   0 shape                node_Shape_0                                    0        0        0            0        0.0      0
   1 pointwise_conv       node_Conv_506                               12544       27       16    5,419,008    31129.4      0
   2 hard_swish           n0                                              0        0        0            0        0.0   1568
   3 depthwise_conv       node_Conv_508                               50176        9        1      451,584    41505.9      0
   4 relu                 node_relu                                       0        0        0            0        0.0    392
   5 global_avg_pool      node_mean                                       0        0        0            0        0.0      0
   6 pointwise_conv       node_conv2d_2                                   1       16        8          128        1.5      0
   7 relu                 node_relu_1                                     0        0        0            0        0.0      1
   8 pointwise_conv       node_conv2d_3                                   1        8       16          128        0.7      0
   9 hard_sigmoid         node_hardsigmoid                                0        0        0            0        0.0      1
  10 mul                  node_mul_141                                    0        0        0            0        0.0      0
  11 pointwise_conv       node_Conv_510                                3136       16       16      802,816     4611.8      0
  12 pointwise_conv       node_Conv_512                                3136       16       72    3,612,672     4611.8      0
  13 relu                 node_relu_2                                     0        0        0            0        0.0   1764
  14 depthwise_conv       node_Conv_514                               56448        9        1      508,032    46694.1      0
  15 relu                 node_relu_3                                     0        0        0            0        0.0    441
  16 pointwise_conv       node_Conv_516                                 784       72       24    1,354,752     5188.2      0
  17 pointwise_conv       node_Conv_518                                 784       24       88    1,655,808     1729.4      0
  18 relu                 node_relu_4                                     0        0        0            0        0.0    539
  19 depthwise_conv       node_Conv_520                               68992        9        1      620,928    57070.6      0
  20 relu                 node_relu_5                                     0        0        0            0        0.0    539
  21 pointwise_conv       node_Conv_522                                 784       88       24    1,655,808     6341.2      0
  22 add                  node_add_201                                    0        0        0            0        0.0      0
  23 pointwise_conv       node_Conv_524                                 784       24       96    1,806,336     1729.4      0
  24 hard_swish           n0_2                                            0        0        0            0        0.0    588
  25 depthwise_conv       node_Conv_526                               18816       25        1      470,400    43235.3      0
  26 hard_swish           n0_3                                            0        0        0            0        0.0    147
  27 global_avg_pool      node_mean_1                                     0        0        0            0        0.0      0
  28 pointwise_conv       node_conv2d_13                                  1       96       24        2,304        8.8      0
  29 relu                 node_relu_6                                     0        0        0            0        0.0      1
  30 pointwise_conv       node_conv2d_14                                  1       24       96        2,304        2.2      0
  31 hard_sigmoid         node_hardsigmoid_1                              0        0        0            0        0.0      1
  32 mul                  node_mul_465                                    0        0        0            0        0.0      0
  33 pointwise_conv       node_Conv_528                                 196       96       40      752,640     1729.4      0
  34 pointwise_conv       node_Conv_530                                 196       40      240    1,881,600      720.6      0
  35 hard_swish           n0_4                                            0        0        0            0        0.0    368
  36 depthwise_conv       node_Conv_532                               47040       25        1    1,176,000   108088.2      0
  37 hard_swish           n0_5                                            0        0        0            0        0.0    368
  38 global_avg_pool      node_mean_2                                     0        0        0            0        0.0      0
  39 pointwise_conv       node_conv2d_18                                  1      240       64       15,360       22.1      0
  40 relu                 node_relu_7                                     0        0        0            0        0.0      1
  41 pointwise_conv       node_conv2d_19                                  1       64      240       15,360        5.9      0
  42 hard_sigmoid         node_hardsigmoid_2                              0        0        0            0        0.0      2
  43 mul                  node_mul_725                                    0        0        0            0        0.0      0
  44 pointwise_conv       node_Conv_534                                 196      240       40    1,881,600     4323.5      0
  45 add                  node_add_421                                    0        0        0            0        0.0      0
  46 pointwise_conv       node_Conv_536                                 196       40      240    1,881,600      720.6      0
  47 hard_swish           n0_6                                            0        0        0            0        0.0    368
  48 depthwise_conv       node_Conv_538                               47040       25        1    1,176,000   108088.2      0
  49 hard_swish           n0_7                                            0        0        0            0        0.0    368
  50 global_avg_pool      node_mean_3                                     0        0        0            0        0.0      0
  51 pointwise_conv       node_conv2d_23                                  1      240       64       15,360       22.1      0
  52 relu                 node_relu_8                                     0        0        0            0        0.0      1
  53 pointwise_conv       node_conv2d_24                                  1       64      240       15,360        5.9      0
  54 hard_sigmoid         node_hardsigmoid_3                              0        0        0            0        0.0      2
  55 mul                  node_mul_991                                    0        0        0            0        0.0      0
  56 pointwise_conv       node_Conv_540                                 196      240       40    1,881,600     4323.5      0
  57 add                  node_add_539                                    0        0        0            0        0.0      0
  58 pointwise_conv       node_Conv_542                                 196       40      120      940,800      720.6      0
  59 hard_swish           n0_8                                            0        0        0            0        0.0    184
  60 depthwise_conv       node_Conv_544                               23520       25        1      588,000    54044.1      0
  61 hard_swish           n0_9                                            0        0        0            0        0.0    184
  62 global_avg_pool      node_mean_4                                     0        0        0            0        0.0      0
  63 pointwise_conv       node_conv2d_28                                  1      120       32        3,840       11.0      0
  64 relu                 node_relu_9                                     0        0        0            0        0.0      1
  65 pointwise_conv       node_conv2d_29                                  1       32      120        3,840        2.9      0
  66 hard_sigmoid         node_hardsigmoid_4                              0        0        0            0        0.0      1
  67 mul                  node_mul_1257                                   0        0        0            0        0.0      0
  68 pointwise_conv       node_Conv_546                                 196      120       48    1,128,960     2161.8      0
  69 pointwise_conv       node_Conv_548                                 196       48      144    1,354,752      864.7      0
  70 hard_swish           n0_10                                           0        0        0            0        0.0    221
  71 depthwise_conv       node_Conv_550                               28224       25        1      705,600    64852.9      0
  72 hard_swish           n0_11                                           0        0        0            0        0.0    221
  73 global_avg_pool      node_mean_5                                     0        0        0            0        0.0      0
  74 pointwise_conv       node_conv2d_33                                  1      144       40        5,760       13.2      0
  75 relu                 node_relu_10                                    0        0        0            0        0.0      1
  76 pointwise_conv       node_conv2d_34                                  1       40      144        5,760        3.7      0
  77 hard_sigmoid         node_hardsigmoid_5                              0        0        0            0        0.0      2
  78 mul                  node_mul_1517                                   0        0        0            0        0.0      0
  79 pointwise_conv       node_Conv_552                                 196      144       48    1,354,752     2594.1      0
  80 add                  node_add_759                                    0        0        0            0        0.0      0
  81 pointwise_conv       node_Conv_554                                 196       48      288    2,709,504      864.7      0
  82 hard_swish           n0_12                                           0        0        0            0        0.0    441
  83 depthwise_conv       node_Conv_556                               14112       25        1      352,800    32426.5      0
  84 hard_swish           n0_13                                           0        0        0            0        0.0    111
  85 global_avg_pool      node_mean_6                                     0        0        0            0        0.0      0
  86 pointwise_conv       node_conv2d_38                                  1      288       72       20,736       26.5      0
  87 relu                 node_relu_11                                    0        0        0            0        0.0      1
  88 pointwise_conv       node_conv2d_39                                  1       72      288       20,736        6.6      0
  89 hard_sigmoid         node_hardsigmoid_6                              0        0        0            0        0.0      3
  90 mul                  node_mul_1783                                   0        0        0            0        0.0      0
  91 pointwise_conv       node_Conv_558                                  49      288       96    1,354,752     1297.1      0
  92 pointwise_conv       node_Conv_560                                  49       96      576    2,709,504      432.4      0
  93 hard_swish           n0_14                                           0        0        0            0        0.0    221
  94 depthwise_conv       node_Conv_562                               28224       25        1      705,600    64852.9      0
  95 hard_swish           n0_15                                           0        0        0            0        0.0    221
  96 global_avg_pool      node_mean_7                                     0        0        0            0        0.0      0
  97 pointwise_conv       node_conv2d_43                                  1      576      144       82,944       52.9      0
  98 relu                 node_relu_12                                    0        0        0            0        0.0      2
  99 pointwise_conv       node_conv2d_44                                  1      144      576       82,944       13.2      0
 100 hard_sigmoid         node_hardsigmoid_7                              0        0        0            0        0.0      5
 101 mul                  node_mul_2043                                   0        0        0            0        0.0      0
 102 pointwise_conv       node_Conv_564                                  49      576       96    2,709,504     2594.1      0
 103 add                  node_add_979                                    0        0        0            0        0.0      0
 104 pointwise_conv       node_Conv_566                                  49       96      576    2,709,504      432.4      0
 105 hard_swish           n0_16                                           0        0        0            0        0.0    221
 106 depthwise_conv       node_Conv_568                               28224       25        1      705,600    64852.9      0
 107 hard_swish           n0_17                                           0        0        0            0        0.0    221
 108 global_avg_pool      node_mean_8                                     0        0        0            0        0.0      0
 109 pointwise_conv       node_conv2d_48                                  1      576      144       82,944       52.9      0
 110 relu                 node_relu_13                                    0        0        0            0        0.0      2
 111 pointwise_conv       node_conv2d_49                                  1      144      576       82,944       13.2      0
 112 hard_sigmoid         node_hardsigmoid_8                              0        0        0            0        0.0      5
 113 mul                  node_mul_2309                                   0        0        0            0        0.0      0
 114 pointwise_conv       node_Conv_570                                  49      576       96    2,709,504     2594.1      0
 115 add                  node_add_1097                                   0        0        0            0        0.0      0
 116 pointwise_conv       node_Conv_572                                  49       96      576    2,709,504      432.4      0
 117 hard_swish           n0_18                                           0        0        0            0        0.0    221
 118 global_avg_pool      node_mean_9                                     0        0        0            0        0.0      0
 119 concat               node_Concat_402                                 0        0        0            0        0.0      0
 120 reshape              node_view                                       0        0        0            0        0.0      0
 121 gemm                 node_linear                                     1      576     1024      589,824        0.0      0
 122 hard_swish           n0_19                                           0        0        0            0        0.0      8
 123 gemm                 node_linear_1                                   1     1024     1000    1,024,000        0.0      0

Total MACs: 56,510,400
