cycle,dma_busy,mxu_busy,purpose,src,dst,len
8669,0,0,,0x0,0x0,0
10040,1,0,activation,0x80010000,0x20000000,32768
35199,0,0,,0x0,0x0,0
35436,1,0,weight,0x80018000,0x20008000,2048
37015,0,0,,0x0,0x0,0
37159,1,0,scale,0x80028400,0x20009000,256
37364,0,0,,0x0,0x0,0
37709,0,1,,0x0,0x0,0
37781,0,0,,0x0,0x0,0
41533,1,0,weight,0x80018800,0x20008800,2048
43112,0,0,,0x0,0x0,0
43256,1,0,scale,0x80028500,0x20009100,256
43461,0,0,,0x0,0x0,0
43806,0,1,,0x0,0x0,0
43878,0,0,,0x0,0x0,0
47630,1,0,weight,0x80019000,0x20008000,2048
49209,0,0,,0x0,0x0,0
49353,1,0,scale,0x80028600,0x20009000,256
49558,0,0,,0x0,0x0,0
49903,0,1,,0x0,0x0,0
49975,0,0,,0x0,0x0,0
53727,1,0,weight,0x80019800,0x20008800,2048
55306,0,0,,0x0,0x0,0
55450,1,0,scale,0x80028700,0x20009100,256
55655,0,0,,0x0,0x0,0
56000,0,1,,0x0,0x0,0
56072,0,0,,0x0,0x0,0
59824,1,0,weight,0x8001a000,0x20008000,2048
61403,0,0,,0x0,0x0,0
61547,1,0,scale,0x80028800,0x20009000,256
61752,0,0,,0x0,0x0,0
62097,0,1,,0x0,0x0,0
62169,0,0,,0x0,0x0,0
65921,1,0,weight,0x8001a800,0x20008800,2048
67500,0,0,,0x0,0x0,0
67644,1,0,scale,0x80028900,0x20009100,256
67849,0,0,,0x0,0x0,0
68194,0,1,,0x0,0x0,0
68266,0,0,,0x0,0x0,0
72018,1,0,weight,0x8001b000,0x20008000,2048
73597,0,0,,0x0,0x0,0
73741,1,0,scale,0x80028a00,0x20009000,256
73946,0,0,,0x0,0x0,0
74291,0,1,,0x0,0x0,0
74363,0,0,,0x0,0x0,0
78116,1,0,weight,0x8001b800,0x20008800,2048
79695,0,0,,0x0,0x0,0
79839,1,0,scale,0x80028b00,0x20009100,256
80044,0,0,,0x0,0x0,0
80389,0,1,,0x0,0x0,0
80461,0,0,,0x0,0x0,0
84218,1,0,output,0x20009200,0x80028000,256
84279,0,0,,0x0,0x0,0
84485,1,0,weight,0x8001c000,0x20008000,2048
86064,0,0,,0x0,0x0,0
86208,1,0,scale,0x80028c00,0x20009000,256
86413,0,0,,0x0,0x0,0
86758,0,1,,0x0,0x0,0
86830,0,0,,0x0,0x0,0
90582,1,0,weight,0x8001c800,0x20008800,2048
92161,0,0,,0x0,0x0,0
92305,1,0,scale,0x80028d00,0x20009100,256
92510,0,0,,0x0,0x0,0
92855,0,1,,0x0,0x0,0
92927,0,0,,0x0,0x0,0
96679,1,0,weight,0x8001d000,0x20008000,2048
98258,0,0,,0x0,0x0,0
98402,1,0,scale,0x80028e00,0x20009000,256
98607,0,0,,0x0,0x0,0
98952,0,1,,0x0,0x0,0
99024,0,0,,0x0,0x0,0
102776,1,0,weight,0x8001d800,0x20008800,2048
104355,0,0,,0x0,0x0,0
104499,1,0,scale,0x80028f00,0x20009100,256
104704,0,0,,0x0,0x0,0
105049,0,1,,0x0,0x0,0
105121,0,0,,0x0,0x0,0
108873,1,0,weight,0x8001e000,0x20008000,2048
110452,0,0,,0x0,0x0,0
110596,1,0,scale,0x80029000,0x20009000,256
110801,0,0,,0x0,0x0,0
111146,0,1,,0x0,0x0,0
111218,0,0,,0x0,0x0,0
114970,1,0,weight,0x8001e800,0x20008800,2048
116549,0,0,,0x0,0x0,0
116693,1,0,scale,0x80029100,0x20009100,256
116898,0,0,,0x0,0x0,0
117243,0,1,,0x0,0x0,0
117315,0,0,,0x0,0x0,0
121067,1,0,weight,0x8001f000,0x20008000,2048
122646,0,0,,0x0,0x0,0
122790,1,0,scale,0x80029200,0x20009000,256
122995,0,0,,0x0,0x0,0
123340,0,1,,0x0,0x0,0
123412,0,0,,0x0,0x0,0
127165,1,0,weight,0x8001f800,0x20008800,2048
128744,0,0,,0x0,0x0,0
128888,1,0,scale,0x80029300,0x20009100,256
129093,0,0,,0x0,0x0,0
129438,0,1,,0x0,0x0,0
129510,0,0,,0x0,0x0,0
133267,1,0,output,0x20009300,0x80028100,256
133328,0,0,,0x0,0x0,0
133534,1,0,weight,0x80020000,0x20008000,2048
135113,0,0,,0x0,0x0,0
135257,1,0,scale,0x80029400,0x20009000,256
135462,0,0,,0x0,0x0,0
135807,0,1,,0x0,0x0,0
135879,0,0,,0x0,0x0,0
139631,1,0,weight,0x80020800,0x20008800,2048
141210,0,0,,0x0,0x0,0
141354,1,0,scale,0x80029500,0x20009100,256
141559,0,0,,0x0,0x0,0
141904,0,1,,0x0,0x0,0
141976,0,0,,0x0,0x0,0
145728,1,0,weight,0x80021000,0x20008000,2048
147307,0,0,,0x0,0x0,0
147451,1,0,scale,0x80029600,0x20009000,256
147656,0,0,,0x0,0x0,0
148001,0,1,,0x0,0x0,0
148073,0,0,,0x0,0x0,0
151825,1,0,weight,0x80021800,0x20008800,2048
153404,0,0,,0x0,0x0,0
153548,1,0,scale,0x80029700,0x20009100,256
153753,0,0,,0x0,0x0,0
154098,0,1,,0x0,0x0,0
154170,0,0,,0x0,0x0,0
157922,1,0,weight,0x80022000,0x20008000,2048
159501,0,0,,0x0,0x0,0
159645,1,0,scale,0x80029800,0x20009000,256
159850,0,0,,0x0,0x0,0
160195,0,1,,0x0,0x0,0
160267,0,0,,0x0,0x0,0
164019,1,0,weight,0x80022800,0x20008800,2048
165598,0,0,,0x0,0x0,0
165742,1,0,scale,0x80029900,0x20009100,256
165947,0,0,,0x0,0x0,0
166292,0,1,,0x0,0x0,0
166364,0,0,,0x0,0x0,0
170116,1,0,weight,0x80023000,0x20008000,2048
171695,0,0,,0x0,0x0,0
171839,1,0,scale,0x80029a00,0x20009000,256
172044,0,0,,0x0,0x0,0
172389,0,1,,0x0,0x0,0
172461,0,0,,0x0,0x0,0
176214,1,0,weight,0x80023800,0x20008800,2048
177793,0,0,,0x0,0x0,0
177937,1,0,scale,0x80029b00,0x20009100,256
178142,0,0,,0x0,0x0,0
178487,0,1,,0x0,0x0,0
178559,0,0,,0x0,0x0,0
182316,1,0,output,0x20009400,0x80028200,256
182377,0,0,,0x0,0x0,0
182583,1,0,weight,0x80024000,0x20008000,2048
184162,0,0,,0x0,0x0,0
184306,1,0,scale,0x80029c00,0x20009000,256
184511,0,0,,0x0,0x0,0
184856,0,1,,0x0,0x0,0
184928,0,0,,0x0,0x0,0
188680,1,0,weight,0x80024800,0x20008800,2048
190259,0,0,,0x0,0x0,0
190403,1,0,scale,0x80029d00,0x20009100,256
190608,0,0,,0x0,0x0,0
190953,0,1,,0x0,0x0,0
191025,0,0,,0x0,0x0,0
194777,1,0,weight,0x80025000,0x20008000,2048
196356,0,0,,0x0,0x0,0
196500,1,0,scale,0x80029e00,0x20009000,256
196705,0,0,,0x0,0x0,0
