scenario,M,K,N,RTL_cycles,model_compute_cycles,model_dma_cycles,model_total_cycles,gap_cycles,gap_pct
multi_tile_K,64,128,64,2035,8,278,286,1749,85.94594594594595
multi_tile_K,64,128,64,2035,8,278,286,1749,85.94594594594595
multi_tile_M,128,64,64,2685,4,235,239,2446,91.09869646182496
multi_tile_M,128,64,64,2685,4,235,239,2446,91.09869646182496
multi_tile_M,128,64,64,2685,4,235,239,2446,91.09869646182496
multi_tile_N,64,64,128,2685,8,278,286,2399,89.34823091247672
multi_tile_N,64,64,128,2685,8,278,286,2399,89.34823091247672
overflow,64,64,64,1355,4,141,145,1210,89.2988929889299
partial_tile_K,64,33,64,1045,4,141,145,900,86.1244019138756
partial_tile_M,33,64,64,1045,4,95,99,946,90.52631578947368
partial_tile_N,64,64,33,1355,4,141,145,1210,89.2988929889299
qwen_e2e,1,2048,2048,696985,4096,45602,49698,647287,92.86957395065892
single_tile,64,64,64,1355,4,141,145,1210,89.2988929889299
single_tile,64,64,64,1355,4,141,145,1210,89.2988929889299
single_tile,64,64,64,1355,4,141,145,1210,89.2988929889299
zero_dim,0,64,64,25,4,47,51,-26,-104.0
random_000,23,199,168,7195,48,926,974,6221,86.46282140375261
random_001,50,124,209,7345,32,936,968,6377,86.8209666439755
random_002,160,21,244,9545,16,1117,1133,8412,88.12991094814039
random_003,50,58,177,3415,12,353,365,3050,89.31185944363104
random_004,205,199,217,42785,64,5516,5580,37205,86.95804604417437
random_005,22,224,7,2655,16,305,321,2334,87.909604519774
random_006,238,227,252,48585,64,6292,6356,42229,86.9177729751981
random_007,117,6,118,2805,8,434,442,2363,84.24242424242424
random_008,88,215,109,11065,32,1383,1415,9650,87.21192950745595
random_009,201,2,135,6895,12,1019,1031,5864,85.04713560551124
random_010,161,179,69,14765,24,1682,1706,13059,88.4456484930579
random_011,119,252,47,6595,16,876,892,5703,86.4746019711903
random_012,224,110,221,28025,32,2983,3015,25010,89.24174843889384
random_013,183,73,85,8605,16,1252,1268,7337,85.2643811737362
random_014,101,85,147,8695,24,1153,1177,7518,86.46348476135711
random_015,91,122,147,10615,24,1065,1089,9526,89.74093264248705
